contest_id,index,name,rating,solved_count,tags
1307,E,Cow and Treats,2500,741,"binary search, combinatorics, dp, greedy, implementation, math"
1307,D,Cow and Fields,1900,3690,"binary search, data structures, dfs and similar, graphs, greedy, shortest paths, sortings"
1307,C,Cow and Message,1500,7180,"brute force, dp, math, strings"
1307,B,Cow and Friend,1300,8920,"geometry, greedy, math"
1307,A,Cow and Haybales,800,11651,"greedy, implementation"
1305,H,Kuroni the Private Tutor,3500,28,"binary search, greedy"
1305,G,Kuroni and Antihype,3500,191,"bitmasks, brute force, dp, dsu, graphs"
1305,F,Kuroni and the Punishment,2500,1129,"math, number theory, probabilities"
1305,E,Kuroni and the Score Distribution,2200,2039,"constructive algorithms, greedy, implementation, math"
1305,D,Kuroni and the Celebration,1900,3288,"constructive algorithms, dfs and similar, interactive, trees"
1305,C,Kuroni and Impossible Calculation,1600,7529,"brute force, combinatorics, math, number theory"
1305,B,Kuroni and Simple Strings,1200,7843,"constructive algorithms, greedy, strings, two pointers"
1305,A,Kuroni and the Gifts,800,10686,"brute force, constructive algorithms, greedy, sortings"
1304,F2,Animal Observation (hard version),2400,718,"data structures, dp, greedy"
1304,F1,Animal Observation (easy version),2300,950,"data structures, dp"
1304,E,1-Trees and Queries,2000,2815,"data structures, dfs and similar, shortest paths, trees"
1304,D,Shortest and Longest LIS,1800,4064,"constructive algorithms, graphs, greedy, two pointers"
1304,C,Air Conditioner,1500,8945,"dp, greedy, implementation, sortings, two pointers"
1304,B,Longest Palindrome,1100,11787,"brute force, constructive algorithms, greedy, implementation, strings"
1304,A,Two Rabbits,800,16173,math
1303,G,Sum of Prefix Sums,2700,285,"data structures, divide and conquer, geometry, trees"
1303,F,Number of Components,2800,276,"dsu, implementation"
1303,E,Erase Subsequences,2200,1575,"dp, strings"
1303,D,Fill The Bag,1900,4171,"bitmasks, greedy"
1303,C,Perfect Keyboard,1600,7269,"dfs and similar, greedy, implementation"
1303,B,National Project,1400,10012,math
1303,A,Erasing Zeroes,800,16280,"implementation, strings"
1302,J,Keep talking and nobody explodes -- hard,,8,
1302,I,Deja vu,,1,
1302,H,Who needs suffix structures?,,8,
1302,G,Keep talking and nobody explodes -- medium,,22,
1302,F,Keep talking and nobody explodes -- easy,,65,"bitmasks, brute force, expression parsing"
1302,E,Amazing bitset,,43,
1302,D,Dijkstra,,75,
1302,C,Segment tree or Fenwick?,,342,data structures
1302,B,DAG,,135,constructive algorithms
